year,title_ab
2020,"Struggling To Make Sense Of It All: The Emotional Process Of Sensemaking In Scrutinized Occupations -- This paper examines the practice world of practitioners working in ‘scrutinized’ occupations through a qualitative study of emergency management practitioners who were involved in a major bushfire incident, participated in the subsequent public inquiry, and were responsible for the implementation of the inquiry’s recommendations. We show how such practitioners engage with their practice world through three different ‘modes of involvement’ as a result of a cycle of scrutiny that flows from the incident, through the inquiry, to implementation. We also explore the different emotions experienced by these practitioners during this process and draw attention to the important role of one particular emotion – anxiety – which takes different forms depending on the particular mode of involvement. Our findings indicate that anxiety helps practitioners deal with scrutiny by facilitating sensemaking and developing knowledge, allowing us to develop a general model of sensemaking and emotion in scrutinized occupations more broadly."
2020,"Breaking Organizational Silence -- It is a common practice in organizations for employees to withhold or distort—“sugarcoat”—some of their opinions, especially when these opinions concern unpleasant news that needs to be communicated to managers. However, sometimes such withholding of information grows into the pervasive silencing of issues and this may have detrimental effects on the business as well as the well-being of organizational members. Therefore, it is important for both practitioners and scholars to understand how organizations might reverse the negative dynamics around such silenced issues. With this paper, we describe one of the ways in which organizations may break the silence and contribute to the theoretical understanding of the process. We draw on a unique ethnographic study dataset, in which, at the time of the observation, employees collaborated with their managers, and attempted to break the silence surrounding a particularly problematic organizational issue. We trace the process of how anxiety around the silenced issue built up in the organization, and how attempts to break the silence culminated in a metaphorical, humorous, and hyperbolized public revelation. These findings show the importance of courage, strategic use of humor and adaptive planning, and contribute to the understanding of socio-organizational practices around the complex issues embedded in organizational cultures."
2020,"Uncertainty as Generated through Social Practices in Biotechnology Entrepreneuring -- In this paper, we extend the research on entrepreneurial uncertainty by applying a practice lens, and analyzing how uncertainty is generated in entrepreneuring practices. Contrary to the established notion of uncertainty as a characteristic of environment or as an individual knowledge problem, we analyze uncertainty as a social phenomenon and a part of social entrepreneuring practices. We draw on the entrepreneurship as practice approach and analyze how practices of creating “proof of concept”—the feasibility of a new technology—generate uncertainty, and how entrepreneurial firms organize in response to this uncertainty in order to break the tension that surrounds the creation of a “proof of concept”. Based on a comprehensive study of a large biotechnology firm and the network of entrepreneurial firms that are their partners or potential collaborators, we demonstrate how uncertainty manifests through contrasting understanding of time and knowing."
2020,"Influences of Top Managers’ Pay Dispersions on Organizational Responses to Performance Shortfalls -- The behavioral theory of the firm has been tested across various organizational change settings. This literature shows that firms pursue change when performance drops below aspirations, but relatively scarce research examines how pay dispersions of the dominant coalition influence this process. Integrating insights from behavioral theory and pay dispersion research and applying them to the business divestiture context, we propose that top executives facing total pay dispersions likely experience team conflicts and dissatisfaction, attenuating divestiture rate in response to performance shortfalls. Managers with distinct time horizons, however, exhibit varying behaviors whereby unexercisable option pay dispersion weakens divestiture rate due to widening pay gap over the long-term whereas exercisable options and stock pay dispersions foster divestiture tendencies to improve short-term performance and close the pay gap."
2020,"Historical Political Ideology and Firm Innovation: Worldwide Evidence of R&D Investments (1982-2016) -- Dominant national political ideology during founding or initial public offering (IPO) shapes a firm’s structures and routines—leaving an organizational ideological imprint—and persistently affects firms’ innovation. I argue that the communist (capitalist) ideological imprint discourages (encourages) firms’ innovation enduringly. To triangulate the theoretical mechanism, I argue that the communist (capitalist) ideological imprint weakens (strengthens) the impact of two determinants of innovation, i.e. competitive aspirations and organizational slack. Meanwhile, I differentiate types of sensitive periods when imprinting processes take place and argue that founding imprint is more powerful than its IPO counterpart. Finally, I suggest that the subsequent IPO imprint modifies the influence of founding imprint, and therefore imprinting is a punctuated process. Empirical analysis of a longitudinal sample of worldwide firms’ research and development (R&D) investment supports my hypotheses. My study contributes to imprinting theory and strategy literature."
2020,"Organization of Production and Labor Income Inequality -- This paper investigates how and why the organization of production (relative sizes of occupational groups, distribution of firm sizes), can be correlated with measures of income inequality (GINI, income in the top 1%) in market economies, where individuals with different skills make occupational choices as employees, solo self-employed, or entrepreneur-managers. We identify the parameters of the production technology, the organizational costs, and the distribution of skills in the population that jointly determine the size of occupational groups and the level of inequality in the distribution of income in the market equilibrium. The comparative static analysis reveals the contribution to income inequality of “market” and “organization”."
2020,"Historical Protestant Influence, Subnational Institutions, and Organizational Structure in the U.S. -- I argue that variation across U.S. states regarding historical Protestant influence leads to discernible subnational institutions. These varying institutional patterns among states in turn lead to differences in organizational structures of firms. I also suggest that Catholic activities tend to reshape the historical Protestant influence. Using a hand-collected longitudinal dataset of states from 1776 to 2017 and a panel dataset of publicly traded firms in the U.S. from 1992 to 2017, I found that historical Protestant influence results in flatter hierarchy and greater gender equality in firms, partly through formal and informal institutions that promote liberalism and equality. This effect is weakened by the role of Catholic immigrants through political contestation. Finally, the Catholic reform in 1960s diminished the Protestantism-Catholicism divide, thereby reducing the dampening effect of Catholic immigrants on the historical Protestant influence. My study contributes to (1) institutional theory by unraveling the emergence and evolution of subnational institutions through a religious lens, (2) imprinting perspective by considering the dynamics introduced by counter-imprinting entities (i.e., the Catholic activities), and (3) literature on organizational structure by revealing overlooked antecedents from the nexus of history, religion, and institution."
2020,"Solidarity All Around: How Spatial Context Influences Perceptions of Organizational Solidarity -- More than seventy years of research in social networks and microgeography have shown that spa- tial proximity offers individuals opportunities to interact and form social ties, aggregating up to a structural influence of the arrangement of space on social networks among organization members. But space has the power to do more than structure opportunities for individuals to interact directly. Spatial design also structures opportunities to observe others’ interactions, an extra-network in- formation channel that may influence social perceptions, and consequently the way individuals relate to their organization. One important way in which individuals relate to their organization is the degree to which they perceive it as a strong ‘community’, where their colleagues are mutually supportive and socially cohesive, best captured by the long-established concept of social solidar- ity. Social solidarity has largely been conceived of as arising from social interactions and social network structures among workers. We present an extra-network information theory of spatial ar- rangement’s influence on individual perceptions of social solidarity in their organization. Testing this theory in the context of a North American financial technology company, our results suggest that there is indeed an influence of spatial arrangements on perceptions of social solidarity. This apparent influence of spatial context is not mediated via the social network among workers, suggesting that spatial design may be able to directly influence the way in which workers relate to their organization."
2020,"The Uncertain and the Unexpected:Pathways to the Evolution of Job Structures in the Throes of Hiring -- In this paper, we examine the evolution of job structures in the throes of the hiring process – how jobs change in the time between making a decision to bring in someone to do a body of work and officially hiring someone. We analyze interviews about startup hiring and find that during hiring tasks are added and removed from jobs, jobs are abandoned, replaced, and moved, and hiring processes are re-launched. There are three pathways for this evolution, each shaped by a form of the uncertain or the unexpected: not knowing about what the job should be; lacking understanding of labor markets; and unexpected events. Not surprisingly, most of the jobs on these pathways are new to their organizations but contrary to common conceptions, these processes are not the product of managers who lack experience or who use lax hiring practices. The pathways differ in their longer-term consequences."
2020,"The Role of Proto-forms in the Emergence of Historic Movie Theaters in Chicago Communities:1896-1962 -- We develop a novel concept of proto-form to understand the “pre-birth” processes of organizational form emergence, which take place between the discovery of a technological or social novelty and the eventual emergence of organizational forms dedicated to exploiting this novelty. We define a proto-form as a provisional organizational form that arises when entrepreneurs and enthusiasts experiment with possible applications of a novelty by using preexisting organizational forms as a basis. Proto-forms are a key step in the emergence of dedicated organizational forms, because they provide audiences with initial understandings of the novelty’s socio-cultural meanings. We theorize that the cultural status of proto-forms can affect how quickly dedicated forms with either similar or dissimilar cultural status emerge in geographic communities. Using data on all historic movie-showing venues in Chicago, Illinois, 1896-1962, we predicted and found that the proliferation of proto-forms with low cultural status in a community accelerated the emergence of dedicated organizational forms with low cultural status and delayed the emergence of dedicated forms with high cultural status. We predicted the opposite for the proliferation of proto-forms with high cultural status and found partial support to this prediction. These results provide initial evidence for the important role of proto-forms in understanding the emergence of new organizational forms."
2020,"Seeing Through the Lens of Event Stigma: Media Evaluations of Referees in the Aftermath of a Scandal -- We study how event stigma can shape the evaluation of the conduct of actors at the field-level. Specifically, we argue that in the aftermath of a traumatic event, event stigma breeds skepticism in a generalized fashion, so that all actors within the field should face more contestation. Moreover, we expect high-status actors to face a larger increase in the contestation levels compared to low-status ones because event stigma is associated with a generalized loss of trust, which is especially damaging to high-status actors. Finally, we argue that event stigma will translate into a stronger preference for monitoring and control; as a result, perceived failures to act (omissions) will face particular contestation, and especially so in the case of high-status actors. A study of media coverage of Italian football referees’ decisions before and after the 2006 Calciopoli scandal provides support for our arguments."
2020,"Shareholder Unrest and Its Influence on CEO Career Outcomes -- We examine the effects of shareholder unrest on CEOs’ career outcomes. Shareholder unrest –the overall scale of shareholder dissatisfaction with company practices, as manifested in support for shareholder resolutions – is a quintessential form of a broader class of performance indicators: stakeholders’ publicly-registered assessments, which are distinct from customary metrics of managerial performance, such as profitability or share price. We theorize that shareholder unrest activates the mechanisms of settling up and executive job demands, with distinct outcomes from each. Drawing on the concept of settling up, we hypothesize that shareholder unrest negatively affects the careers of incumbent CEOs, reducing pay and increasing likelihood of dismissal. Applying executive job demands theory, we hypothesize that new CEOs of unrest-laden firms receive higher initial pay packages to deal with these inherited job demands. Finally, we unpack a distinction typically overlooked by studying two broad types of resolutions, those aimed at wealth maximization and those that are CSR-oriented, theorizing that these two types of unrest exert equal effects on CEOs’ career outcomes. Testing our ideas on a longitudinal sample of U.S. corporations, we find considerable support for our hypotheses."
2020,"Indexical Judgment: The Construction of Valuation Devices for Art and Antiques -- The growth of models, metrics and indicators is a hallmark of the modern economy and contemporary markets. Yet there is little empirical research on how designers balance their goals and beliefs with the constraints and politics faced when developing important valuation devices. The special features of artworks as unique, difficult-to-value, and with a value based on social consensus, make the art market an excellent context to study such processes. Using two pioneering art price indices, the Times-Sotheby and Sotheby Index, we develop a theoretical framework to examine market indicator development. Through interviews with key figures and extensive documentary analysis, we trace the entwined forces of epistemic beliefs about the nature of value and available resources in valuation-producing organizations. The result is a process through which different modes of justification and commensurability interact as designers develop a workable set of valuation practices into systematic valuation devices. Our research contributes to research on organizational and calculative infrastructures underpinning markets, particularly in creating market indicators, and extends a growing literature linking strategy and valuation, particularly since strategic modification of indices is constrained by the need to maintain established methods for longitudinal comparison, a hallmark of many valuation devices."
2020,"Rescripting client action: Emotion work and the boundaries of professional jurisdiction -- This paper addresses a major gap in the study of professions, which is the absence of clients in research on the boundaries of professional jurisdiction. To do so, it shifts the standard analytical focus in two important ways: from inter-profession relations to the professional?client relationship; and from a profession-centered perspective to a client-centered one. Numerous empirical studies of client movements in professionalized fields such as health care, education and religion show that clients organize in many ways to redraw service arrangements and the boundaries of professional jurisdiction. Yet, one wouldn’t learn much about this phenomenon by reading existing organizational research on professionalized fields, which largely explains service arrangements and jurisdictional boundaries as resulting from inter-professional struggles for epistemic control over domains of activity, while all but ignoring client action. Building upon insights from Hirschman’s exit, voice, and loyalty framework, Mannheim’s theory of ideology and utopia, and organizational research informed by Goffman’s idea of an “interaction order”, we develop a six-part typology of client action scripts. We then elucidate how different forms of emotion work carried out in framing contests between ‘incumbent’ professionals and ‘challenger’ clients can evoke distinct felt emotions that, in turn, rescript client action toward different boundary projects."
2020,"Playing Different Games: A Dual Tournament Theory of Executive Promotions -- Despite robust research on CEOs, little is known about the non-CEO executive labor market and the promotion paths of TMT members to CEO. Tournament theory suggests employees will strive to win a promotion tournament if the pay gap is large and has generally assumed there is no relevant difference in external or internal pay gaps as the skills needed for promotion are similar across firms. However, considering the increasing prevalence of external succession in today’s executive labor market, we challenge this theoretical assumption and argue that differences in internal and external pay gaps create two separate but simultaneous tournaments for CEO promotion and propose a dual tournament theory of executive promotions. By arguing that there are two tournaments that TMT members could attend to differently based on their individual characteristics, we highlight how the same motivational theory can suggest dissimilar types of actions across TMT members in the same firm. While traditional tournament theory suggests a large CEO-TMT pay gap can be an effective governance mechanism, our dual tournament theory explains how the actions taken by TMT members pursuing external tournaments may tend towards opportunistic behaviors resulting in increased agency costs and governance issues for firms."
2020,"Stigma Entrepreneurship: Theorizing The Role Of Moral Anger In Entrepreneurship -- Negative emotions are usually described as hindrances, impediments, or discouragements of entrepreneurial action. We contend that this is not always the case, offering a new explanation of how negative emotions associated with stigmatization might spark entrepreneurial action. We argue that stigmatization, as both an individual (i.e., first-person) and collective (i.e., third-person or group) experience, generates negative emotions, particularly moral anger. We explain how moral anger can then spur an individual to start an entrepreneurial venture with the aim of reducing relevant stigma(s). In doing so, we develop a theoretical process model for what we call stigma entrepreneurship, which we define as entrepreneurial efforts primarily directed at stigma reduction. We contribute to the literatures on entrepreneurship and on stigma management by highlighting the overlooked role of entrepreneurship as a tool for stigma reduction that goes beyond individual identity management strategies or collective action. Answering calls for research on the illegitimate, the informal, and the underdog, our exploration of stigma entrepreneurship challenges conventional wisdom and expands understandings of the possibilities within entrepreneurship."
2020,"“Ella says…” How authority in eponymous firms is authored through ventriloquial acts -- This article advances ‘communicative constitution of organization’ (Ashcraft, Kuhn & Cooren, 2009: 7) understandings of how authoring authority organizes daily practice. We show how authority is eponymously authored during ventriloquial acts and produces multidirectional, temporal and fluid organizing patterns. Our ethnography of a cosmetics firm demonstrates how performative, segmented and misfiring authoring impacts quotidian activity in subtle, nuanced and precarious ways. This research also enhances communicative understandings of authority and elevates eponymy’s role within organization and management theorizing."
2020,"Hold your horses: negative anticipatory impression management and its motivations -- An emergent stream of research shows that managers engage in various impression management strategies to manage external perceptions by placing their firms in the best possible light. Drawing from this work, we develop theory around when and why managers may choose to engage in a novel form of preemptive impression management—negative anticipatory impression management (NAIM)—to recalibrate stakeholder expectations. Specifically, we posit that managers use actions and communications that deliberately convey pessimism to reduce the liability of inflated expectations. We then propose two factors—media coverage and the manager’s regulatory focus—that act as moderators. This underscores how managers use negative information to their advantage and further grounds the relevance of executive personality in impression management decision-making."
2020,"Who can start a stock exchange? Silent legitimacy, mundane materiality, and the genesis of markets -- This study presents an account of the genesis and development of two stock markets established in London in 1995. It draws on elite interviews and documentary sources to explore how the founders of these markets sought to legitimize them as stable and durable venues for security trade. The analysis accounts for the success of one market, AIM, which adopted a novel organisation and became a model for growth company markets worldwide, and the failure of the other, OFEX, despite a strategy of isomorphic conformity to the expected norms of market operation. The study uses insights from the STS-inflected study of markets to present an account of legitimacy as embedded in taken-for-granted socio-material structures. We term this phenomenon ‘silent legitimacy’. The successful market was supported by such silent legitimacy, which outweighed the ostensive strategy of isomorphic regulatory and procedural legitimacy followed by its rival. Contributing to a nascent ‘material turn’ in institutional theory, the study argues that the markets-as-institutions literature can be strengthened through theoretical engagement with the market-studies literature and empirical attention to the mundane material dimensions of institutional fields."
2020,"A macro perspective on status dynamics: The hollowing out and hallowing of Haute Couture -- Extant organizational status research has dedicated significant attention to the dynamics underlying status-based market interactions as well as the potential sources of alterations in actors’ status positions. It has, however, provided few insights into the status dynamics of an entire field. In this research, we shed light on the categorical work undertaken to preserve a category’s status over time in the context of an evolving status order. We explore our research question in the field of the French high-end fashion industry, from 1911 until today. This setting is appropriate because high-end fashion is structured by a sophisticated stratified system of categories and key actors who actively contribute to the construction and alteration of these categories. Focusing on the haute couture category, we show how, over time, the field main professional association attempted to juggle two imperatives that became increasingly at odds: maintaining the category status while ensuring its survival. We argue that such status maintenance work can only be understood by taking into account the status order in which the category is embedded, an order contested and remodeled through the joint influence of endogenous and exogenous forces."
2020,"Elaborating on the Abstract: Group Meaning-Making in a Colombian Microsavings Program -- Access to formal financial products like savings and checking accounts constitutes a hallmark feature of economic development. Across the globe, governments and other organizations promote ‘financial inclusion’ among lower-income citizens. Seeking to understand why individuals embrace or resist financial services, scholars focus on institutional, cultural, and material explanations, but pay less attention to organizations and small groups. In this study, we argue that such factors are crucial to understanding the development of financial preferences. We investigate a government-sponsored microsavings program in Colombia and find that participants became less interested in banking services over the course of the program, even as they gained access to appropriate accounts and their savings increased. Turning to qualitative data to understand this curious finding, we show that organizational efforts to disseminate abstract information about banking triggered a process of information ‘elaboration’ among group members, leading many to develop financial preferences at odds with those promoted by the government. This paper integrates insights from economic sociology, organizational theory, and microsociology to advance theories of financial preference. In doing so, it reveals how organizational efforts to compress information, followed by group efforts to personalize and expand upon it, can shape preferences and potentially undermine organizational goals."
2020,"Paradoxical Learning: A Process Study of Firefighting Innovations -- Process research increasingly emphasizes how organizations face tensions from competing demands characterized by multilevel complexity and irrationality. Although such theory development provides valuable advancements to understand paradox phenomena, it also suffers from complexity with regard to pragmatic problem-solving. This paper shows how process research can offer resolutions if feedback is added to the equation of competing demands. In particular, we focus on the complex equation of amplified innovation in knotted tensions across multiple multilevel paradoxes. Analysis of field data from the rescue service sector in Sweden and work to improve firefighting operations serve as illustrative case material. The results uncover how four types of feedback on competing demands (single-level pole, single-level paradox tension, tension-to-pole, and tension-to-tension in the context of multiple multilevel paradoxes) operate as they unfold in concurrent construction. The concurrent construction of the four feedback types triggers, reinforces, and expands learning about paradoxes. We propose that the notion of paradoxical learning captures this process and examine how multiple multilevel tensions are dealt with when innovative work complexity unfolds. Paradoxical learning clarifies how organizational agents can amplify movements in an increasingly richer world of competing demands."
2020,"Reinventing Dominance: Temporal Work in Processes of an Incumbent’s Self-Disruption -- Seminal literature has shown how disruptive technology can be a cause for the demise of established firms and pointed out that new entrants—unencumbered by history—move quickly and disrupt industries, whereas incumbents run out of time because they are pinned down by their past. We examine how history can serve as the basis for temporal work in enduring processes of self-disruption through an in-depth study of how ABB acted as a disruptor in the power transmission systems market by opening a new technology platform enabling cities’ “smart grids”. Findings from this study highlight a process that relies on the incumbent’s past providing alternative uses of history to cope with evolving tensions—which are triggered by external and internal relationships, and synchronizing imaginative sediments and changes in routines. We explicate this process of self-disruption and discuss its implications for research on enduring disruptions by technological change and innovation."
2020,"Frenemies: When Firms and Activists Collaborate -- This paper examines how contentious targeting of firms by movements influences the formation of firm-activist collaborations. I integrate research on social movements and interorganizational collaborations to argue that the symbiosis between contention and collaboration posited by existing theory, privileges firms’ incentives for collaboration and overlooks activists’ risks in collaborating with movement adversaries. I test my arguments using a 25-year panel of contentious and collaborative interactions between 118 activist organizations and 500 firms in the U.S., and network data on movements. Contrary to existing theory, I find that contentious targeting of a firm by a movement reduces the firm’s chances of collaborating with an activist in that movement. Instead, contention catalyzes collaboration only when a firm’s reputation provides assurance it will follow-through on its collaboration commitments, and when the risk of criticism from the movement is reduced. The findings support a view of firm-activist collaborations as socially-contested, highlighting a novel precursor to contention driving collaboration: cooperative ties between contentious and collaborative activists. While intuitively we may expect activists to seek to preserve social bonds by avoiding collaborations with their friends’ adversaries, it is precisely in the absence of pre-existing social bonds that activists and firms fail to transform contention into collaboration."
2020,"Problem Formulation between Organizations -- Although prior research has paid much attention to problem solving, it has overlooked a related but distinctive issue: problem formulation in the case of ill-structured and complex problems between organizations. To understand problem formulation between organizations, I used a case study design to examine the everyday problems experienced by the same client organization and main contractor in two sequential green building projects. Following the comparison of similar problems within and between projects, a core insight emerges about hasty coupling: a generalized process by which elements evoked in the description of a problem’s symptoms prompt managers to turn to specific coordination safeguards (e.g., contracts and professional roles). Through the study of hasty coupling, I generate insights into when managers take the route of formulating the actual problem versus when they seek off-the-shelf formulations. However, each route has distinct implications for the quality of problem formulation and ultimately the project’s time and cost overruns. Although the managers worked together in the first project, prior experience did not enhance problem formulation between them in the second project. The findings bring together research on problem formulation and problem solving and the interorganizational coordination literature under a generalized process of problem formulation between organizations."
2020,"Time and Punishment: How Individuals Respond to Being Sanctioned in Voluntary Organizations -- Although sanctioning is a common feature of social life, researchers hold different expectations about how members respond when sanctioned by their peers. One school of thought suggests that individuals respond to sanctions by becoming more cooperative, or prosocial, towards the group. Another line of research shows that individuals have negative emotional reactions to being punished and become less cooperative. In this study, we offer an avenue for reconciling these seemingly-conflicting viewpoints in the context of voluntary organizations, where cooperation is crucial. We build on theories of dependence and propose that individuals’ responses to sanctions shift over time as they become increasingly dependent on other members to achieve valued outcomes. We draw on unique data from microsavings groups in Colombia to develop and test this proposition, using qualitative data to flesh out the proposed mechanism and longitudinal, quantitative records to test the hypothesis. We find that individuals initially respond to being sanctioned by reducing their prosocial contributions, but that their responses become increasingly cooperative and prosocial over time. Taking social psychological concepts generated in laboratories and extending them to small groups in an economic development program, this study generates a fresh vision of sanctions as temporally- and relationally-dependent, while also revealing how processes of social control can shape inequality in voluntary organizations."
2020,"Socialized to Redistribute? CEO Social Class Background and Corporate Social Responsibility -- Understanding firm investment in CSR is one of the most discussed and contentious topics in strategy research. Yet, there is no clear imperative about investing in CSR. It is thus important to understand: what influences the extent to which CEOs redistribute firm resources to CSR? We draw on the intra-family theoretical model and theorize an inverted U-shaped relationship between CEO social class background and CSR investment. We also theorize that CEO tenure and recent firm performance moderate this effect. The results of our analyses are consistent with our theorizing. This study provides insight about drivers of CSR and contributes to research on CEO attributes by focusing on a CEO attribute—social class background—outside of the traditional focus on workplace experiences and personality."
2020,"The Cost of Forgoing Status Rewards: Major League Baseball Teams and the Free Agent Market -- Status provides organizations with privilege rewards including being able to gain discounts on resources. However, if organizations take advantage of status rewards, there is a risk of status loss based on the external perception of lower quality. The study asks if organizations will seek to take advantage of available status rewards or if the goal of status accumulation will predominate. Using a sample of Major League Baseball (MLB) free-agent contract signings, this study finds that high-status teams pay more for resources than their lower-status counterparts, regardless of the quality or status of the players. Implications for researchers address the cost of status may be ignored based on status goals, while practitioners can understand how the quest social approval may be driving up the cost of their resources."
2020,"Selective (De)coupling and Change in Clinical Outcomes -- Through an in-depth longitudinal study of hospitals’ implementation of quality improvement initiatives within a single jurisdiction, I build on previous empirical findings of heterogenous organizational responses to common institutional pressures. Yet, rather than honing the causes of this heterogeneity, I examine its relationship to desired outcomes. I use Fuzzy-set Qualitative Comparative Analysis (Fs/QCA) to uncover intended and unintended consequences of hospitals’ heterogenous responses and theorize on why some configurations are associated with improved or worsened clinical outcomes. Findings suggest that management and healthcare scholars ought to pay greater attention to the subversive and superficial nature of some responses, as these are associated with a decline in clinical outcomes. Indeed, scholars have recognized that: “In fragmented and rationalized environments, organizations seek to respond to a greater number of external stakeholders; adapting to these external pressures can generate both internal complexity and inconsistency (Bromley & Powell, 2012, p. 20).” I find that coupling to two conflicting pressures, such as pressures to reduce costs while improving the quality of clinical services, creates internal inconsistencies which results in dynamics of subversion. In contrast, implementing clinical standards in the absence of an ambition to improve clinical services leads to the superficial implementation of these standards."
